group,x,y
1,5.394867262,4.764343342
1,5.876490188,7.302932725
1,6.375809019,4.053575019
1,6.603434778,3.106753733
1,8.502267081,10.73373426
1,7.20950612,7.082829243
1,5.978550597,3.511956803
1,5.703899924,3.155316691
1,6.379951747,4.165533161
1,6.372268298,7.548374224
1,6.283806253,8.396794224
1,6.806669406,9.196459002
1,5.905358359,3.624892238
1,6.951191693,10.13476848
1,5.633094965,3.373993092
1,6.431308711,10.23102858
1,6.905275025,8.355759388
1,6.713014943,5.412331535
1,7.241486053,5.682442885
1,6.562991506,3.305996273
2,1.952547384,1.661447394
2,11.89564378,-1.051769336
2,14.01968466,0.869805129
2,4.909964898,1.76268613
2,2.283268293,3.037531122
2,8.545675059,1.75422039
2,5.810866197,1.335037334
2,15.6541802,-0.828216644
2,6.182665574,1.95647659
2,9.011400138,3.36148399
2,6.443592338,-0.254152302
2,3.45073219,3.696210219
2,7.06752307,2.484850216
2,-0.669036335,5.34246954
2,12.02187783,0.392012255
2,6.929617536,2.57307794
2,14.76554402,0.665692894
2,8.1801018,0.879437944
2,3.580053558,4.619131877
2,8.704797729,3.402456371
3,0.242970766,8.949482674
3,1.831353815,6.461537536
3,1.520604819,6.173023379
3,2.921375951,8.093151809
3,0.906247482,7.188650105
3,3.16646534,5.317819678
3,1.44825342,6.918647867
3,6.569125297,3.916190473
3,4.347750793,4.487826703
3,4.756822162,4.199100925
3,3.644656978,4.063314785
3,6.389163883,2.322274238
3,1.488106545,7.154863477
3,1.856210823,5.746695171
3,5.860781543,4.215669568
3,1.456474927,4.521496387
3,2.393833516,6.796780613
3,2.001761228,4.025481559
3,2.155723374,5.976196207
3,2.24216024,5.519312864
