iso1,iso2,group,community
5.132626337,3.688303346,1,1
5.027934415,4.86449461,1,1
6.043919263,7.318477302,1,1
5.110484276,5.406555477,1,1
4.755094023,3.77654147,1,1
5.35203914,5.617408095,1,1
4.96480273,3.855380519,1,1
5.485278005,5.425605628,1,1
5.310339664,4.98686112,1,1
4.922920527,3.40061299,1,1
4.995183205,3.994522482,1,1
6.079741693,6.703973534,1,1
5.667668213,6.246105804,1,1
5.205787713,5.192862848,1,1
4.964732589,4.183737055,1,1
5.224107993,4.974401533,1,1
4.992166699,4.083743111,1,1
5.925788905,7.077552652,1,1
5.29923779,4.813968073,1,1
5.954730084,6.566349426,1,1
0.186432047,3.60685959,2,1
3.53581808,4.225075007,2,1
0.504743861,4.391172372,2,1
2.624164956,4.545632584,2,1
-0.054902607,4.614149715,2,1
-1.113834017,3.916090414,2,1
0.780661622,5.916003992,2,1
2.23226819,5.004188948,2,1
2.466778349,5.259539064,2,1
3.080695315,2.416390976,2,1
-0.908995482,5.959884781,2,1
3.495390467,2.008932394,2,1
0.342270113,3.99767439,2,1
1.335476776,2.852039795,2,1
1.736848919,1.843641011,2,1
0.207525262,6.615010247,2,1
-1.151851479,4.203319505,2,1
0.600401651,4.212496411,2,1
1.250162161,3.953428173,2,1
0.120473278,5.058224924,2,1
-3.688510878,11.69510182,3,1
-2.906022384,10.93901342,3,1
6.77827967,7.865499873,3,1
0.894642457,10.88325565,3,1
-1.668558317,9.213310114,3,1
-0.94066673,6.163726342,3,1
4.110663246,9.377163909,3,1
1.657192561,7.462571797,3,1
-0.075812522,13.09718642,3,1
-1.388245018,7.460632999,3,1
-1.727593713,5.825064099,3,1
7.045624514,5.655886041,3,1
3.705080392,3.922238305,3,1
6.926990223,6.022669553,3,1
-0.398681454,3.066479872,3,1
-0.186033824,2.893589666,3,1
-2.225552909,11.25626059,3,1
0.116377112,8.889179479,3,1
2.294062806,9.285560188,3,1
4.968259159,-0.782315842,3,1
6.00688289,2.337958172,4,1
8.294047021,2.692525403,4,1
10.90199989,1.43206863,4,1
7.705966491,0.92379691,4,1
10.0504632,3.348141318,4,1
11.78596602,0.266933853,4,1
8.108676329,-0.311553644,4,1
11.55182111,7.901243686,4,1
11.27023748,-1.74532422,4,1
7.706629171,-1.290571585,4,1
7.205830206,3.582226344,4,1
12.3892023,6.000890177,4,1
9.380700364,4.159523124,4,1
11.722788,3.364908249,4,1
7.607627329,2.231744866,4,1
13.18092562,1.788754671,4,1
6.297666993,-0.549545151,4,1
11.83613119,2.684453952,4,1
11.04510384,0.816048666,4,1
10.52970271,4.603357269,4,1
1.476720507,1.171080752,1,2
1.784741146,-0.11561985,1,2
2.08297958,-0.2261449,1,2
1.692399389,-0.797729971,1,2
2.593706835,-1.46970523,1,2
0.929267912,-0.1962235,1,2
0.31619655,0.055579962,1,2
0.348280934,-2.053193351,1,2
-8.849011203,1.709618765,2,2
-8.953236083,-0.462825099,2,2
-7.940819714,-0.40929352,2,2
-8.218187931,0.881776554,2,2
-8.218016576,1.499232226,2,2
-7.790318337,1.280248658,2,2
-7.677389787,-1.072009829,2,2
-7.495402153,0.276722443,2,2
11.45850432,7.617667678,3,2
9.618915736,7.145801589,3,2
11.77297936,7.455546302,3,2
8.971193179,6.237827739,3,2
10.18513688,7.100260793,3,2
11.85945547,5.991249237,3,2
11.00042992,5.213454448,3,2
10.14026527,6.422861357,3,2
10.3086129,0.272440221,4,2
10.47976961,0.61815617,4,2
9.896092767,2.799151988,4,2
10.90443436,1.241479635,4,2
9.470909788,0.258169823,4,2
9.089354342,1.781800376,4,2
10.15331623,2.056178158,4,2
9.04291357,1.818245356,4,2
